ministry,scheme,allocated_crore,spent_crore,year
Agriculture,PM-KISAN,60000,58432,2024
Agriculture,PM Fasal Bima Yojana,15000,14200,2024
Agriculture,PM Krishi Sinchai Yojana,7200,6900,2024
Agriculture,National Agriculture Market,500,480,2024
Education,PM POSHAN,12467,11800,2024
Education,Samagra Shiksha,37453,35000,2024
Education,Higher Education Fund,44095,42000,2024
Education,National Scholarship Portal,3000,2800,2024
Health,Ayushman Bharat PM-JAY,7200,6800,2024
Health,National Health Mission,36785,35200,2024
Health,New AIIMS,3365,3100,2024
Health,National Digital Health Mission,400,360,2024
Rural Development,MGNREGS,86000,82000,2024
Rural Development,PM Awas Yojana Rural,54500,51000,2024
Rural Development,PM Gram Sadak Yojana,19000,18200,2024
Rural Development,Jal Jeevan Mission,70163,67000,2024
Urban Development,PM Awas Yojana Urban,25000,22000,2024
Urban Development,AMRUT 2.0,8000,7200,2024
Urban Development,Smart Cities Mission,8000,7600,2024
Infrastructure,National Highways Authority,172000,160000,2024
Infrastructure,Railway Capital Expenditure,250000,240000,2024
Infrastructure,PM Gati Shakti,20000,18000,2024
Defence,Capital Outlay on Defence,172000,168000,2024
Defence,Defence Revenue Expenditure,239000,235000,2024
Finance,Direct Benefit Transfer,90000,87000,2024
Finance,PM Jan Dhan Yojana,2000,1800,2024
Agriculture,PM-KISAN,54000,53500,2023
Agriculture,PM Fasal Bima Yojana,13625,13000,2023
Education,Samagra Shiksha,33000,32100,2023
Education,PM POSHAN,11600,11200,2023
Health,National Health Mission,34000,33100,2023
Health,Ayushman Bharat PM-JAY,6412,6200,2023
Rural Development,MGNREGS,73000,70000,2023
Rural Development,PM Awas Yojana Rural,47000,44500,2023
Rural Development,Jal Jeevan Mission,60000,58000,2023
Infrastructure,National Highways Authority,142000,135000,2023
Infrastructure,Railway Capital Expenditure,240000,228000,2023
Defence,Capital Outlay on Defence,153000,149000,2023
Finance,Direct Benefit Transfer,80000,76000,2023
Agriculture,PM-KISAN,68000,67500,2025
Agriculture,PM Fasal Bima Yojana,17500,0,2025
Education,Samagra Shiksha,41000,0,2025
Health,National Health Mission,38000,0,2025
Health,Ayushman Bharat PM-JAY,9406,0,2025
Rural Development,MGNREGS,86000,0,2025
Rural Development,Jal Jeevan Mission,67000,0,2025
Infrastructure,National Highways Authority,190000,0,2025
Infrastructure,Railway Capital Expenditure,260000,0,2025
Defence,Capital Outlay on Defence,180000,0,2025
